Instance|Question|Answer|Label
It really takes patience when it comes to feeding a infant . It was time for me to feed my baby . She was crying because she was hungry . It is much easier to feed baby in car seat , because you can rock it at same time to sooth them too . I put the bib around her neck , and i made sure it is big enough , because it always make mass , I grabbed baby food which I purchased from grocery store . It was peach and banana . She smiled , I was happy that she liked it , because first time i introduced her this flavor . I opened another bottle , that is zucchini and peas . Alternatively I gave that too , just to give more change of taste . I gave her water time to time . She calmed down very quickly and finished her food ,|What did they open?|diaper bag.|0
It really takes patience when it comes to feeding a infant . It was time for me to feed my baby . She was crying because she was hungry . It is much easier to feed baby in car seat , because you can rock it at same time to sooth them too . I put the bib around her neck , and i made sure it is big enough , because it always make mass , I grabbed baby food which I purchased from grocery store . It was peach and banana . She smiled , I was happy that she liked it , because first time i introduced her this flavor . I opened another bottle , that is zucchini and peas . Alternatively I gave that too , just to give more change of taste . I gave her water time to time . She calmed down very quickly and finished her food ,|Why did they grab the car seat?|It is much easier to feed a baby in a car seat.|1
It really takes patience when it comes to feeding a infant . It was time for me to feed my baby . She was crying because she was hungry . It is much easier to feed baby in car seat , because you can rock it at same time to sooth them too . I put the bib around her neck , and i made sure it is big enough , because it always make mass , I grabbed baby food which I purchased from grocery store . It was peach and banana . She smiled , I was happy that she liked it , because first time i introduced her this flavor . I opened another bottle , that is zucchini and peas . Alternatively I gave that too , just to give more change of taste . I gave her water time to time . She calmed down very quickly and finished her food ,|Why did they grab the car seat?|To rock the baby.|0
It really takes patience when it comes to feeding a infant . It was time for me to feed my baby . She was crying because she was hungry . It is much easier to feed baby in car seat , because you can rock it at same time to sooth them too . I put the bib around her neck , and i made sure it is big enough , because it always make mass , I grabbed baby food which I purchased from grocery store . It was peach and banana . She smiled , I was happy that she liked it , because first time i introduced her this flavor . I opened another bottle , that is zucchini and peas . Alternatively I gave that too , just to give more change of taste . I gave her water time to time . She calmed down very quickly and finished her food ,|What did she grab?|Baby food.|1
It really takes patience when it comes to feeding a infant . It was time for me to feed my baby . She was crying because she was hungry . It is much easier to feed baby in car seat , because you can rock it at same time to sooth them too . I put the bib around her neck , and i made sure it is big enough , because it always make mass , I grabbed baby food which I purchased from grocery store . It was peach and banana . She smiled , I was happy that she liked it , because first time i introduced her this flavor . I opened another bottle , that is zucchini and peas . Alternatively I gave that too , just to give more change of taste . I gave her water time to time . She calmed down very quickly and finished her food ,|What did she grab?|A stroller.|0
It really takes patience when it comes to feeding a infant . It was time for me to feed my baby . She was crying because she was hungry . It is much easier to feed baby in car seat , because you can rock it at same time to sooth them too . I put the bib around her neck , and i made sure it is big enough , because it always make mass , I grabbed baby food which I purchased from grocery store . It was peach and banana . She smiled , I was happy that she liked it , because first time i introduced her this flavor . I opened another bottle , that is zucchini and peas . Alternatively I gave that too , just to give more change of taste . I gave her water time to time . She calmed down very quickly and finished her food ,|Who's mouth was food put in?|The baby.|1
It really takes patience when it comes to feeding a infant . It was time for me to feed my baby . She was crying because she was hungry . It is much easier to feed baby in car seat , because you can rock it at same time to sooth them too . I put the bib around her neck , and i made sure it is big enough , because it always make mass , I grabbed baby food which I purchased from grocery store . It was peach and banana . She smiled , I was happy that she liked it , because first time i introduced her this flavor . I opened another bottle , that is zucchini and peas . Alternatively I gave that too , just to give more change of taste . I gave her water time to time . She calmed down very quickly and finished her food ,|Who's mouth was food put in?|Her own.|0
It really takes patience when it comes to feeding a infant . It was time for me to feed my baby . She was crying because she was hungry . It is much easier to feed baby in car seat , because you can rock it at same time to sooth them too . I put the bib around her neck , and i made sure it is big enough , because it always make mass , I grabbed baby food which I purchased from grocery store . It was peach and banana . She smiled , I was happy that she liked it , because first time i introduced her this flavor . I opened another bottle , that is zucchini and peas . Alternatively I gave that too , just to give more change of taste . I gave her water time to time . She calmed down very quickly and finished her food ,|What did she put in the car seat?|The baby food.|0
It really takes patience when it comes to feeding a infant . It was time for me to feed my baby . She was crying because she was hungry . It is much easier to feed baby in car seat , because you can rock it at same time to sooth them too . I put the bib around her neck , and i made sure it is big enough , because it always make mass , I grabbed baby food which I purchased from grocery store . It was peach and banana . She smiled , I was happy that she liked it , because first time i introduced her this flavor . I opened another bottle , that is zucchini and peas . Alternatively I gave that too , just to give more change of taste . I gave her water time to time . She calmed down very quickly and finished her food ,|What did she put in the car seat?|The baby.|1
It really takes patience when it comes to feeding a infant . It was time for me to feed my baby . She was crying because she was hungry . It is much easier to feed baby in car seat , because you can rock it at same time to sooth them too . I put the bib around her neck , and i made sure it is big enough , because it always make mass , I grabbed baby food which I purchased from grocery store . It was peach and banana . She smiled , I was happy that she liked it , because first time i introduced her this flavor . I opened another bottle , that is zucchini and peas . Alternatively I gave that too , just to give more change of taste . I gave her water time to time . She calmed down very quickly and finished her food ,|When did they put their baby in it?|when it was time for the baby to nap.|0
It really takes patience when it comes to feeding a infant . It was time for me to feed my baby . She was crying because she was hungry . It is much easier to feed baby in car seat , because you can rock it at same time to sooth them too . I put the bib around her neck , and i made sure it is big enough , because it always make mass , I grabbed baby food which I purchased from grocery store . It was peach and banana . She smiled , I was happy that she liked it , because first time i introduced her this flavor . I opened another bottle , that is zucchini and peas . Alternatively I gave that too , just to give more change of taste . I gave her water time to time . She calmed down very quickly and finished her food ,|When did they put their baby in it?|when it was time to feed the baby|1
It really takes patience when it comes to feeding a infant . It was time for me to feed my baby . She was crying because she was hungry . It is much easier to feed baby in car seat , because you can rock it at same time to sooth them too . I put the bib around her neck , and i made sure it is big enough , because it always make mass , I grabbed baby food which I purchased from grocery store . It was peach and banana . She smiled , I was happy that she liked it , because first time i introduced her this flavor . I opened another bottle , that is zucchini and peas . Alternatively I gave that too , just to give more change of taste . I gave her water time to time . She calmed down very quickly and finished her food ,|What did they do after they opened the bottle?|They fed the baby.|1
It really takes patience when it comes to feeding a infant . It was time for me to feed my baby . She was crying because she was hungry . It is much easier to feed baby in car seat , because you can rock it at same time to sooth them too . I put the bib around her neck , and i made sure it is big enough , because it always make mass , I grabbed baby food which I purchased from grocery store . It was peach and banana . She smiled , I was happy that she liked it , because first time i introduced her this flavor . I opened another bottle , that is zucchini and peas . Alternatively I gave that too , just to give more change of taste . I gave her water time to time . She calmed down very quickly and finished her food ,|What did they do after they opened the bottle?|threw the bottle in the trash|0
It really takes patience when it comes to feeding a infant . It was time for me to feed my baby . She was crying because she was hungry . It is much easier to feed baby in car seat , because you can rock it at same time to sooth them too . I put the bib around her neck , and i made sure it is big enough , because it always make mass , I grabbed baby food which I purchased from grocery store . It was peach and banana . She smiled , I was happy that she liked it , because first time i introduced her this flavor . I opened another bottle , that is zucchini and peas . Alternatively I gave that too , just to give more change of taste . I gave her water time to time . She calmed down very quickly and finished her food ,|What is the sippy cup used for?|Change of taste.|0
It really takes patience when it comes to feeding a infant . It was time for me to feed my baby . She was crying because she was hungry . It is much easier to feed baby in car seat , because you can rock it at same time to sooth them too . I put the bib around her neck , and i made sure it is big enough , because it always make mass , I grabbed baby food which I purchased from grocery store . It was peach and banana . She smiled , I was happy that she liked it , because first time i introduced her this flavor . I opened another bottle , that is zucchini and peas . Alternatively I gave that too , just to give more change of taste . I gave her water time to time . She calmed down very quickly and finished her food ,|What is the sippy cup used for?|Water for the baby|1
It really takes patience when it comes to feeding a infant . It was time for me to feed my baby . She was crying because she was hungry . It is much easier to feed baby in car seat , because you can rock it at same time to sooth them too . I put the bib around her neck , and i made sure it is big enough , because it always make mass , I grabbed baby food which I purchased from grocery store . It was peach and banana . She smiled , I was happy that she liked it , because first time i introduced her this flavor . I opened another bottle , that is zucchini and peas . Alternatively I gave that too , just to give more change of taste . I gave her water time to time . She calmed down very quickly and finished her food ,|Why keep sippy cup for water?|To help with food.|1
It really takes patience when it comes to feeding a infant . It was time for me to feed my baby . She was crying because she was hungry . It is much easier to feed baby in car seat , because you can rock it at same time to sooth them too . I put the bib around her neck , and i made sure it is big enough , because it always make mass , I grabbed baby food which I purchased from grocery store . It was peach and banana . She smiled , I was happy that she liked it , because first time i introduced her this flavor . I opened another bottle , that is zucchini and peas . Alternatively I gave that too , just to give more change of taste . I gave her water time to time . She calmed down very quickly and finished her food ,|Why keep sippy cup for water?|in case the mother is thirsty|0
It 's Saturday and its cleaning day in my house . I usually have a busy work week and do n't have time to deep clean my house . So I take Saturday of each week to clean my house , in every nook and cranny I clean until it shines .  I take extra care in cleaning it and keeping it clean . I even bought a special vacuum that specializes in vacuuming carpets to look like they are new . When I get to the vacuuming part of my cleaning routine , I take out my vacuum and plug it into the wall .  Then I take the vacuum to my carpet and start to vacuum all the area ; making sure to not leave any spot .  I like clean lines and the fresh look vacuuming leaves my carpet so I make sure no to step over what I freshly vacuumed . Then I continue to vacuum all of my house , until all of the carpet in my house is vacuumed .|What do they plan to do to the carpet?|Vacuum|1
It 's Saturday and its cleaning day in my house . I usually have a busy work week and do n't have time to deep clean my house . So I take Saturday of each week to clean my house , in every nook and cranny I clean until it shines .  I take extra care in cleaning it and keeping it clean . I even bought a special vacuum that specializes in vacuuming carpets to look like they are new . When I get to the vacuuming part of my cleaning routine , I take out my vacuum and plug it into the wall .  Then I take the vacuum to my carpet and start to vacuum all the area ; making sure to not leave any spot .  I like clean lines and the fresh look vacuuming leaves my carpet so I make sure no to step over what I freshly vacuumed . Then I continue to vacuum all of my house , until all of the carpet in my house is vacuumed .|What do they plan to do to the carpet?|steam clean it|0
It 's Saturday and its cleaning day in my house . I usually have a busy work week and do n't have time to deep clean my house . So I take Saturday of each week to clean my house , in every nook and cranny I clean until it shines .  I take extra care in cleaning it and keeping it clean . I even bought a special vacuum that specializes in vacuuming carpets to look like they are new . When I get to the vacuuming part of my cleaning routine , I take out my vacuum and plug it into the wall .  Then I take the vacuum to my carpet and start to vacuum all the area ; making sure to not leave any spot .  I like clean lines and the fresh look vacuuming leaves my carpet so I make sure no to step over what I freshly vacuumed . Then I continue to vacuum all of my house , until all of the carpet in my house is vacuumed .|What did they just buy?|A special vacuum|1
It 's Saturday and its cleaning day in my house . I usually have a busy work week and do n't have time to deep clean my house . So I take Saturday of each week to clean my house , in every nook and cranny I clean until it shines .  I take extra care in cleaning it and keeping it clean . I even bought a special vacuum that specializes in vacuuming carpets to look like they are new . When I get to the vacuuming part of my cleaning routine , I take out my vacuum and plug it into the wall .  Then I take the vacuum to my carpet and start to vacuum all the area ; making sure to not leave any spot .  I like clean lines and the fresh look vacuuming leaves my carpet so I make sure no to step over what I freshly vacuumed . Then I continue to vacuum all of my house , until all of the carpet in my house is vacuumed .|What did they just buy?|carpet|0
It 's Saturday and its cleaning day in my house . I usually have a busy work week and do n't have time to deep clean my house . So I take Saturday of each week to clean my house , in every nook and cranny I clean until it shines .  I take extra care in cleaning it and keeping it clean . I even bought a special vacuum that specializes in vacuuming carpets to look like they are new . When I get to the vacuuming part of my cleaning routine , I take out my vacuum and plug it into the wall .  Then I take the vacuum to my carpet and start to vacuum all the area ; making sure to not leave any spot .  I like clean lines and the fresh look vacuuming leaves my carpet so I make sure no to step over what I freshly vacuumed . Then I continue to vacuum all of my house , until all of the carpet in my house is vacuumed .|What was done to that part of the carpet?|replaced|0
It 's Saturday and its cleaning day in my house . I usually have a busy work week and do n't have time to deep clean my house . So I take Saturday of each week to clean my house , in every nook and cranny I clean until it shines .  I take extra care in cleaning it and keeping it clean . I even bought a special vacuum that specializes in vacuuming carpets to look like they are new . When I get to the vacuuming part of my cleaning routine , I take out my vacuum and plug it into the wall .  Then I take the vacuum to my carpet and start to vacuum all the area ; making sure to not leave any spot .  I like clean lines and the fresh look vacuuming leaves my carpet so I make sure no to step over what I freshly vacuumed . Then I continue to vacuum all of my house , until all of the carpet in my house is vacuumed .|What was done to that part of the carpet?|Vacuumed|1
It 's Saturday and its cleaning day in my house . I usually have a busy work week and do n't have time to deep clean my house . So I take Saturday of each week to clean my house , in every nook and cranny I clean until it shines .  I take extra care in cleaning it and keeping it clean . I even bought a special vacuum that specializes in vacuuming carpets to look like they are new . When I get to the vacuuming part of my cleaning routine , I take out my vacuum and plug it into the wall .  Then I take the vacuum to my carpet and start to vacuum all the area ; making sure to not leave any spot .  I like clean lines and the fresh look vacuuming leaves my carpet so I make sure no to step over what I freshly vacuumed . Then I continue to vacuum all of my house , until all of the carpet in my house is vacuumed .|What is going to be maintained and cleaned?|carpet|1
It 's Saturday and its cleaning day in my house . I usually have a busy work week and do n't have time to deep clean my house . So I take Saturday of each week to clean my house , in every nook and cranny I clean until it shines .  I take extra care in cleaning it and keeping it clean . I even bought a special vacuum that specializes in vacuuming carpets to look like they are new . When I get to the vacuuming part of my cleaning routine , I take out my vacuum and plug it into the wall .  Then I take the vacuum to my carpet and start to vacuum all the area ; making sure to not leave any spot .  I like clean lines and the fresh look vacuuming leaves my carpet so I make sure no to step over what I freshly vacuumed . Then I continue to vacuum all of my house , until all of the carpet in my house is vacuumed .|What is going to be maintained and cleaned?|their hair|0
It 's Saturday and its cleaning day in my house . I usually have a busy work week and do n't have time to deep clean my house . So I take Saturday of each week to clean my house , in every nook and cranny I clean until it shines .  I take extra care in cleaning it and keeping it clean . I even bought a special vacuum that specializes in vacuuming carpets to look like they are new . When I get to the vacuuming part of my cleaning routine , I take out my vacuum and plug it into the wall .  Then I take the vacuum to my carpet and start to vacuum all the area ; making sure to not leave any spot .  I like clean lines and the fresh look vacuuming leaves my carpet so I make sure no to step over what I freshly vacuumed . Then I continue to vacuum all of my house , until all of the carpet in my house is vacuumed .|They move the furniture to make sure they vacuum what?|the wall|0
It 's Saturday and its cleaning day in my house . I usually have a busy work week and do n't have time to deep clean my house . So I take Saturday of each week to clean my house , in every nook and cranny I clean until it shines .  I take extra care in cleaning it and keeping it clean . I even bought a special vacuum that specializes in vacuuming carpets to look like they are new . When I get to the vacuuming part of my cleaning routine , I take out my vacuum and plug it into the wall .  Then I take the vacuum to my carpet and start to vacuum all the area ; making sure to not leave any spot .  I like clean lines and the fresh look vacuuming leaves my carpet so I make sure no to step over what I freshly vacuumed . Then I continue to vacuum all of my house , until all of the carpet in my house is vacuumed .|They move the furniture to make sure they vacuum what?|The floor underneath|1
Today was my wife 's birthday . I had been busy at work and I had forgotten to get her anything . I knew she had been wanting to try one of the new restaurants that had just opened in town . I picked up the phone and dialed the number to the restaurant . There was a pleasant hostess answering . I told her about my problem and asked if I could get a reservation . I told her any time would be fine and it was just my wife and me . The hostess booked me down for a reservation at seven . I 'm sure my wife will be very excited . I have the reservation number all ready in my wallet and I ca n't wait to try it out myself ! It will be great !|When did she ask questions about how many of them there would be?|when the couple arrived for the reservation|0
Today was my wife 's birthday . I had been busy at work and I had forgotten to get her anything . I knew she had been wanting to try one of the new restaurants that had just opened in town . I picked up the phone and dialed the number to the restaurant . There was a pleasant hostess answering . I told her about my problem and asked if I could get a reservation . I told her any time would be fine and it was just my wife and me . The hostess booked me down for a reservation at seven . I 'm sure my wife will be very excited . I have the reservation number all ready in my wallet and I ca n't wait to try it out myself ! It will be great !|When did she ask questions about how many of them there would be?|when the husband called|1
Today was my wife 's birthday . I had been busy at work and I had forgotten to get her anything . I knew she had been wanting to try one of the new restaurants that had just opened in town . I picked up the phone and dialed the number to the restaurant . There was a pleasant hostess answering . I told her about my problem and asked if I could get a reservation . I told her any time would be fine and it was just my wife and me . The hostess booked me down for a reservation at seven . I 'm sure my wife will be very excited . I have the reservation number all ready in my wallet and I ca n't wait to try it out myself ! It will be great !|What type of information was asked?|If they could get a reservation|1
Today was my wife 's birthday . I had been busy at work and I had forgotten to get her anything . I knew she had been wanting to try one of the new restaurants that had just opened in town . I picked up the phone and dialed the number to the restaurant . There was a pleasant hostess answering . I told her about my problem and asked if I could get a reservation . I told her any time would be fine and it was just my wife and me . The hostess booked me down for a reservation at seven . I 'm sure my wife will be very excited . I have the reservation number all ready in my wallet and I ca n't wait to try it out myself ! It will be great !|What type of information was asked?|if they drove a convertable|0
Today was my wife 's birthday . I had been busy at work and I had forgotten to get her anything . I knew she had been wanting to try one of the new restaurants that had just opened in town . I picked up the phone and dialed the number to the restaurant . There was a pleasant hostess answering . I told her about my problem and asked if I could get a reservation . I told her any time would be fine and it was just my wife and me . The hostess booked me down for a reservation at seven . I 'm sure my wife will be very excited . I have the reservation number all ready in my wallet and I ca n't wait to try it out myself ! It will be great !|When did the hostess ask them what time and how many people there would be?|before asking for reservations|0
Today was my wife 's birthday . I had been busy at work and I had forgotten to get her anything . I knew she had been wanting to try one of the new restaurants that had just opened in town . I picked up the phone and dialed the number to the restaurant . There was a pleasant hostess answering . I told her about my problem and asked if I could get a reservation . I told her any time would be fine and it was just my wife and me . The hostess booked me down for a reservation at seven . I 'm sure my wife will be very excited . I have the reservation number all ready in my wallet and I ca n't wait to try it out myself ! It will be great !|When did the hostess ask them what time and how many people there would be?|when he called|1
Today was my wife 's birthday . I had been busy at work and I had forgotten to get her anything . I knew she had been wanting to try one of the new restaurants that had just opened in town . I picked up the phone and dialed the number to the restaurant . There was a pleasant hostess answering . I told her about my problem and asked if I could get a reservation . I told her any time would be fine and it was just my wife and me . The hostess booked me down for a reservation at seven . I 'm sure my wife will be very excited . I have the reservation number all ready in my wallet and I ca n't wait to try it out myself ! It will be great !|What did the hostess ask them?|if the reservation could be after the birthday|0
Today was my wife 's birthday . I had been busy at work and I had forgotten to get her anything . I knew she had been wanting to try one of the new restaurants that had just opened in town . I picked up the phone and dialed the number to the restaurant . There was a pleasant hostess answering . I told her about my problem and asked if I could get a reservation . I told her any time would be fine and it was just my wife and me . The hostess booked me down for a reservation at seven . I 'm sure my wife will be very excited . I have the reservation number all ready in my wallet and I ca n't wait to try it out myself ! It will be great !|What did the hostess ask them?|name, number and time they needed a table for|1
Today was my wife 's birthday . I had been busy at work and I had forgotten to get her anything . I knew she had been wanting to try one of the new restaurants that had just opened in town . I picked up the phone and dialed the number to the restaurant . There was a pleasant hostess answering . I told her about my problem and asked if I could get a reservation . I told her any time would be fine and it was just my wife and me . The hostess booked me down for a reservation at seven . I 'm sure my wife will be very excited . I have the reservation number all ready in my wallet and I ca n't wait to try it out myself ! It will be great !|Whose phone number did they find?|The theater.|0
Today was my wife 's birthday . I had been busy at work and I had forgotten to get her anything . I knew she had been wanting to try one of the new restaurants that had just opened in town . I picked up the phone and dialed the number to the restaurant . There was a pleasant hostess answering . I told her about my problem and asked if I could get a reservation . I told her any time would be fine and it was just my wife and me . The hostess booked me down for a reservation at seven . I 'm sure my wife will be very excited . I have the reservation number all ready in my wallet and I ca n't wait to try it out myself ! It will be great !|Whose phone number did they find?|restaurant|1
I made a sandwich for lunch today . I really wanted a ham and cheese sandwich but I actually only had turkey and cheese , so that 's what I ended up making . I put the bread in the toaster and when it popped up , I put the cheese on first so that it could melt a little bit . Then I put the second piece of toast on top . After that , I cut the sandwich into two using a knife . I like to cut my sandwiches into two triangles , so I cut it in half in that direction rather than into two rectangles . A turkey and cheese sandwich is a nutritious way to have lunch , and it was a good way to get my protein and calcium for the day .|What meal was the sandwich for?|dinner|0
I made a sandwich for lunch today . I really wanted a ham and cheese sandwich but I actually only had turkey and cheese , so that 's what I ended up making . I put the bread in the toaster and when it popped up , I put the cheese on first so that it could melt a little bit . Then I put the second piece of toast on top . After that , I cut the sandwich into two using a knife . I like to cut my sandwiches into two triangles , so I cut it in half in that direction rather than into two rectangles . A turkey and cheese sandwich is a nutritious way to have lunch , and it was a good way to get my protein and calcium for the day .|What meal was the sandwich for?|lunch|1
I made a sandwich for lunch today . I really wanted a ham and cheese sandwich but I actually only had turkey and cheese , so that 's what I ended up making . I put the bread in the toaster and when it popped up , I put the cheese on first so that it could melt a little bit . Then I put the second piece of toast on top . After that , I cut the sandwich into two using a knife . I like to cut my sandwiches into two triangles , so I cut it in half in that direction rather than into two rectangles . A turkey and cheese sandwich is a nutritious way to have lunch , and it was a good way to get my protein and calcium for the day .|What did they eat the sandwich for?|dinner|0
I made a sandwich for lunch today . I really wanted a ham and cheese sandwich but I actually only had turkey and cheese , so that 's what I ended up making . I put the bread in the toaster and when it popped up , I put the cheese on first so that it could melt a little bit . Then I put the second piece of toast on top . After that , I cut the sandwich into two using a knife . I like to cut my sandwiches into two triangles , so I cut it in half in that direction rather than into two rectangles . A turkey and cheese sandwich is a nutritious way to have lunch , and it was a good way to get my protein and calcium for the day .|What did they eat the sandwich for?|lunch|1
I made a sandwich for lunch today . I really wanted a ham and cheese sandwich but I actually only had turkey and cheese , so that 's what I ended up making . I put the bread in the toaster and when it popped up , I put the cheese on first so that it could melt a little bit . Then I put the second piece of toast on top . After that , I cut the sandwich into two using a knife . I like to cut my sandwiches into two triangles , so I cut it in half in that direction rather than into two rectangles . A turkey and cheese sandwich is a nutritious way to have lunch , and it was a good way to get my protein and calcium for the day .|When did they put the turkey on and a little bit of mayo?|Before the cheese|0
I made a sandwich for lunch today . I really wanted a ham and cheese sandwich but I actually only had turkey and cheese , so that 's what I ended up making . I put the bread in the toaster and when it popped up , I put the cheese on first so that it could melt a little bit . Then I put the second piece of toast on top . After that , I cut the sandwich into two using a knife . I like to cut my sandwiches into two triangles , so I cut it in half in that direction rather than into two rectangles . A turkey and cheese sandwich is a nutritious way to have lunch , and it was a good way to get my protein and calcium for the day .|When did they put the turkey on and a little bit of mayo?|after cheese|1
I made a sandwich for lunch today . I really wanted a ham and cheese sandwich but I actually only had turkey and cheese , so that 's what I ended up making . I put the bread in the toaster and when it popped up , I put the cheese on first so that it could melt a little bit . Then I put the second piece of toast on top . After that , I cut the sandwich into two using a knife . I like to cut my sandwiches into two triangles , so I cut it in half in that direction rather than into two rectangles . A turkey and cheese sandwich is a nutritious way to have lunch , and it was a good way to get my protein and calcium for the day .|What was eaten by the person?|the turkey and cheese sandwich|1
I made a sandwich for lunch today . I really wanted a ham and cheese sandwich but I actually only had turkey and cheese , so that 's what I ended up making . I put the bread in the toaster and when it popped up , I put the cheese on first so that it could melt a little bit . Then I put the second piece of toast on top . After that , I cut the sandwich into two using a knife . I like to cut my sandwiches into two triangles , so I cut it in half in that direction rather than into two rectangles . A turkey and cheese sandwich is a nutritious way to have lunch , and it was a good way to get my protein and calcium for the day .|What was eaten by the person?|the ham and cheese sandwich|0
I made a sandwich for lunch today . I really wanted a ham and cheese sandwich but I actually only had turkey and cheese , so that 's what I ended up making . I put the bread in the toaster and when it popped up , I put the cheese on first so that it could melt a little bit . Then I put the second piece of toast on top . After that , I cut the sandwich into two using a knife . I like to cut my sandwiches into two triangles , so I cut it in half in that direction rather than into two rectangles . A turkey and cheese sandwich is a nutritious way to have lunch , and it was a good way to get my protein and calcium for the day .|What did they eat for lunch?|the ham and cheese sandwich|0
I made a sandwich for lunch today . I really wanted a ham and cheese sandwich but I actually only had turkey and cheese , so that 's what I ended up making . I put the bread in the toaster and when it popped up , I put the cheese on first so that it could melt a little bit . Then I put the second piece of toast on top . After that , I cut the sandwich into two using a knife . I like to cut my sandwiches into two triangles , so I cut it in half in that direction rather than into two rectangles . A turkey and cheese sandwich is a nutritious way to have lunch , and it was a good way to get my protein and calcium for the day .|What did they eat for lunch?|the turkey and cheese sandwich|1
I made a sandwich for lunch today . I really wanted a ham and cheese sandwich but I actually only had turkey and cheese , so that 's what I ended up making . I put the bread in the toaster and when it popped up , I put the cheese on first so that it could melt a little bit . Then I put the second piece of toast on top . After that , I cut the sandwich into two using a knife . I like to cut my sandwiches into two triangles , so I cut it in half in that direction rather than into two rectangles . A turkey and cheese sandwich is a nutritious way to have lunch , and it was a good way to get my protein and calcium for the day .|What was put on the sandwich?|ham and cheese|0
I made a sandwich for lunch today . I really wanted a ham and cheese sandwich but I actually only had turkey and cheese , so that 's what I ended up making . I put the bread in the toaster and when it popped up , I put the cheese on first so that it could melt a little bit . Then I put the second piece of toast on top . After that , I cut the sandwich into two using a knife . I like to cut my sandwiches into two triangles , so I cut it in half in that direction rather than into two rectangles . A turkey and cheese sandwich is a nutritious way to have lunch , and it was a good way to get my protein and calcium for the day .|What was put on the sandwich?|Turkey and cheese|1
Last night I wanted to make a drink for myself . After I decided which drink I would have I went to the kitchen to make it . First , I got the glass out of the cupboard and rinsed it out to remove any dust that might have collected inside . I went then went to the fridge and got out the ingredients for the drink and arranged them in order on the countertop . Next , I went to the cupboard and got a spoon to stir the drink with . After that , I poured the ingredients into the cup in the proper amounts and stirred everything to mix it all up . Then I tasted the drink to make sure it was how I liked it . When I was satisfied with everything I put the ingredients back where I got them from and sat down to enjoy the tasty drink I had just created .|Where did the cup get put?|countertop|1
Last night I wanted to make a drink for myself . After I decided which drink I would have I went to the kitchen to make it . First , I got the glass out of the cupboard and rinsed it out to remove any dust that might have collected inside . I went then went to the fridge and got out the ingredients for the drink and arranged them in order on the countertop . Next , I went to the cupboard and got a spoon to stir the drink with . After that , I poured the ingredients into the cup in the proper amounts and stirred everything to mix it all up . Then I tasted the drink to make sure it was how I liked it . When I was satisfied with everything I put the ingredients back where I got them from and sat down to enjoy the tasty drink I had just created .|Where did the cup get put?|In the fridge.|0
Last night I wanted to make a drink for myself . After I decided which drink I would have I went to the kitchen to make it . First , I got the glass out of the cupboard and rinsed it out to remove any dust that might have collected inside . I went then went to the fridge and got out the ingredients for the drink and arranged them in order on the countertop . Next , I went to the cupboard and got a spoon to stir the drink with . After that , I poured the ingredients into the cup in the proper amounts and stirred everything to mix it all up . Then I tasted the drink to make sure it was how I liked it . When I was satisfied with everything I put the ingredients back where I got them from and sat down to enjoy the tasty drink I had just created .|What got put on the counter?|The cupboard|0
Last night I wanted to make a drink for myself . After I decided which drink I would have I went to the kitchen to make it . First , I got the glass out of the cupboard and rinsed it out to remove any dust that might have collected inside . I went then went to the fridge and got out the ingredients for the drink and arranged them in order on the countertop . Next , I went to the cupboard and got a spoon to stir the drink with . After that , I poured the ingredients into the cup in the proper amounts and stirred everything to mix it all up . Then I tasted the drink to make sure it was how I liked it . When I was satisfied with everything I put the ingredients back where I got them from and sat down to enjoy the tasty drink I had just created .|What got put on the counter?|drink ingredients|1
Last night I wanted to make a drink for myself . After I decided which drink I would have I went to the kitchen to make it . First , I got the glass out of the cupboard and rinsed it out to remove any dust that might have collected inside . I went then went to the fridge and got out the ingredients for the drink and arranged them in order on the countertop . Next , I went to the cupboard and got a spoon to stir the drink with . After that , I poured the ingredients into the cup in the proper amounts and stirred everything to mix it all up . Then I tasted the drink to make sure it was how I liked it . When I was satisfied with everything I put the ingredients back where I got them from and sat down to enjoy the tasty drink I had just created .|When was it set on the counter?|after they drank it.|0
Last night I wanted to make a drink for myself . After I decided which drink I would have I went to the kitchen to make it . First , I got the glass out of the cupboard and rinsed it out to remove any dust that might have collected inside . I went then went to the fridge and got out the ingredients for the drink and arranged them in order on the countertop . Next , I went to the cupboard and got a spoon to stir the drink with . After that , I poured the ingredients into the cup in the proper amounts and stirred everything to mix it all up . Then I tasted the drink to make sure it was how I liked it . When I was satisfied with everything I put the ingredients back where I got them from and sat down to enjoy the tasty drink I had just created .|When was it set on the counter?|In the preparation process|1
Yesterday I served a meal to my friends . We were all very hungry , and I 'm a good cook . For those reasons , we all decided to go to the store together and pitch in to buy some food . After we had all the food we needed , we went back to my house and I began to prepare the ingredients . Then , I began to cook the chicken . Chicken Marsala is also served with pasta noodles , so after a while I boiled the pasta so that it would be ready by the time the chicken was . Once both items were ready , I put them onto plates and carried the plates over to the dinner table where my friends were sitting . We all sat down together and enjoyed the great meal , washing our own dishes after we 'd all finished .|When did they make Chicken Marsala?|during the get-together|1
